timestamp,user_id,username,source_ip,status,country
2026-07-29 01:12:53,U002,brian.smith,203.0.113.77,FAILURE,Russia
2026-07-29 01:53:26,U014,noah.baker,203.0.113.77,FAILURE,Russia
2026-07-29 02:34:27,U004,david.lee,192.0.2.171,FAILURE,United States
2026-07-29 03:37:36,U020,tina.brooks,203.0.113.77,FAILURE,Russia
2026-07-29 03:52:31,U004,david.lee,192.0.2.29,FAILURE,United States
2026-07-29 04:24:30,U013,maria.gonzalez,203.0.113.77,FAILURE,Russia
2026-07-29 09:04:56,U018,rachel.green,198.51.100.178,SUCCESS,United States
2026-07-29 09:09:40,U003,carla.diaz,198.51.100.42,SUCCESS,United States
2026-07-29 09:38:27,U009,isla.brown,198.51.100.90,SUCCESS,United States
2026-07-29 09:45:40,U008,henry.adams,198.51.100.17,SUCCESS,United States
2026-07-29 09:59:48,U018,rachel.green,198.51.100.219,SUCCESS,United States
2026-07-29 10:24:00,U013,maria.gonzalez,198.51.100.254,SUCCESS,United States
2026-07-29 12:15:14,U004,david.lee,198.51.100.37,SUCCESS,United States
2026-07-29 12:18:13,U018,rachel.green,198.51.100.112,SUCCESS,United States
2026-07-29 13:03:03,U002,brian.smith,198.51.100.151,SUCCESS,United States
2026-07-29 13:37:35,U005,emma.wilson,198.51.100.39,SUCCESS,United States
2026-07-29 13:49:08,U002,brian.smith,198.51.100.165,SUCCESS,United States
2026-07-29 15:14:12,U013,maria.gonzalez,198.51.100.211,SUCCESS,United States
2026-07-29 15:39:36,U003,carla.diaz,198.51.100.27,SUCCESS,United States
2026-07-29 17:05:26,U019,sam.patel,198.51.100.170,SUCCESS,United States
2026-07-29 17:20:31,U018,rachel.green,198.51.100.6,SUCCESS,United States
2026-07-29 17:35:14,U011,karen.white,198.51.100.152,SUCCESS,United States
2026-07-30 01:09:14,U011,karen.white,203.0.113.77,FAILURE,Russia
2026-07-30 02:56:28,U004,david.lee,192.0.2.64,FAILURE,United States
2026-07-30 03:14:11,U001,alice.johnson,198.51.100.207,SUCCESS,United States
2026-07-30 08:25:46,U002,brian.smith,198.51.100.88,SUCCESS,United States
2026-07-30 08:55:21,U008,henry.adams,198.51.100.20,SUCCESS,United States
2026-07-30 09:46:31,U019,sam.patel,198.51.100.210,SUCCESS,United States
2026-07-30 09:47:35,U009,isla.brown,198.51.100.41,SUCCESS,United States
2026-07-30 11:23:18,U012,liam.scott,198.51.100.42,SUCCESS,United States
2026-07-30 11:58:36,U009,isla.brown,198.51.100.226,SUCCESS,United States
2026-07-30 12:11:37,U001,alice.johnson,198.51.100.248,SUCCESS,United States
2026-07-30 14:05:35,U015,olivia.martinez,198.51.100.77,SUCCESS,United States
2026-07-30 14:24:38,U014,noah.baker,198.51.100.121,SUCCESS,United States
2026-07-30 17:04:43,U006,frank.torres,198.51.100.222,SUCCESS,United States
2026-07-30 17:27:02,U004,david.lee,198.51.100.9,SUCCESS,United States
